"SRCH","GCH","ECH","phiJCH","phiACH","ACH_final"
0.2,7,1.5,0.2,0.8,472.31603215948
0.4,7,1.5,0.2,0.8,472.31603215948
0.6,7,1.5,0.2,0.8,472.31603215948
0.8,7,1.5,0.2,0.8,472.31603215948
1,7,1.5,0.2,0.8,472.31603215948
0.2,8,1.5,0.2,0.8,472.31603215948
0.4,8,1.5,0.2,0.8,472.31603215948
0.6,8,1.5,0.2,0.8,472.31603215948
0.8,8,1.5,0.2,0.8,472.31603215948
1,8,1.5,0.2,0.8,472.31603215948
0.2,3,2,0.2,0.8,472.31603215948
0.4,3,2,0.2,0.8,472.31603215948
0.6,3,2,0.2,0.8,472.31603215948
0.8,3,2,0.2,0.8,472.31603215948
1,3,2,0.2,0.8,472.31603215948
0.2,4,2,0.2,0.8,472.31603215948
0.4,4,2,0.2,0.8,472.31603215948
0.6,4,2,0.2,0.8,472.31603215948
0.8,4,2,0.2,0.8,472.31603215948
1,4,2,0.2,0.8,472.31603215948
0.2,5,2,0.2,0.8,472.31603215948
0.4,5,2,0.2,0.8,472.31603215948
0.6,5,2,0.2,0.8,472.31603215948
0.8,5,2,0.2,0.8,472.31603215948
1,5,2,0.2,0.8,472.31603215948
0.2,6,2,0.2,0.8,472.31603215948
0.4,6,2,0.2,0.8,472.31603215948
0.6,6,2,0.2,0.8,472.31603215948
0.8,6,2,0.2,0.8,472.31603215948
1,6,2,0.2,0.8,472.31603215948
0.2,7,2,0.2,0.8,472.31603215948
0.4,7,2,0.2,0.8,472.31603215948
0.6,7,2,0.2,0.8,472.31603215948
0.8,7,2,0.2,0.8,472.31603215948
1,7,2,0.2,0.8,472.31603215948
0.2,8,2,0.2,0.8,472.31603215948
0.4,8,2,0.2,0.8,472.31603215948
0.6,8,2,0.2,0.8,472.31603215948
0.8,8,2,0.2,0.8,472.31603215948
1,8,2,0.2,0.8,472.31603215948
0.2,3,1,0.4,0.8,229.337976867188
0.4,3,1,0.4,0.8,229.337976867188
0.6,3,1,0.4,0.8,229.337976867188
0.8,3,1,0.4,0.8,229.337976867188
1,3,1,0.4,0.8,229.337976867188
0.2,4,1,0.4,0.8,229.337976867188
0.4,4,1,0.4,0.8,229.337976867188
0.6,4,1,0.4,0.8,229.337976867188
0.8,4,1,0.4,0.8,229.337976867188
1,4,1,0.4,0.8,229.337976867188
0.2,5,1,0.4,0.8,229.337976867188
0.4,5,1,0.4,0.8,229.337976867188
0.6,5,1,0.4,0.8,229.337976867188
0.8,5,1,0.4,0.8,229.337976867188
1,5,1,0.4,0.8,229.337976867188
0.2,6,1,0.4,0.8,229.337976867188
0.4,6,1,0.4,0.8,229.337976867188
0.6,6,1,0.4,0.8,229.337976867188
0.8,6,1,0.4,0.8,229.337976867188
1,6,1,0.4,0.8,229.337976867188
0.2,7,1,0.4,0.8,229.337976867188
0.4,7,1,0.4,0.8,229.337976867188
0.6,7,1,0.4,0.8,229.337976867188
0.8,7,1,0.4,0.8,229.337976867188
1,7,1,0.4,0.8,229.337976867188
0.2,8,1,0.4,0.8,229.337976867188
0.4,8,1,0.4,0.8,229.337976867188
0.6,8,1,0.4,0.8,229.337976867188
0.8,8,1,0.4,0.8,229.337976867188
1,8,1,0.4,0.8,229.337976867188
0.2,3,1.5,0.4,0.8,229.337976867188
0.4,3,1.5,0.4,0.8,229.337976867188
0.6,3,1.5,0.4,0.8,229.337976867188
0.8,3,1.5,0.4,0.8,229.337976867188
1,3,1.5,0.4,0.8,229.337976867188
0.2,4,1.5,0.4,0.8,229.337976867188
0.4,4,1.5,0.4,0.8,229.337976867188
0.6,4,1.5,0.4,0.8,229.337976867188
0.8,4,1.5,0.4,0.8,229.337976867188
1,4,1.5,0.4,0.8,229.337976867188
0.2,5,1.5,0.4,0.8,229.337976867188
0.4,5,1.5,0.4,0.8,229.337976867188
0.6,5,1.5,0.4,0.8,229.337976867188
0.8,5,1.5,0.4,0.8,229.337976867188
1,5,1.5,0.4,0.8,229.337976867188
0.2,6,1.5,0.4,0.8,229.337976867188
0.4,6,1.5,0.4,0.8,229.337976867188
0.6,6,1.5,0.4,0.8,229.337976867188
0.8,6,1.5,0.4,0.8,229.337976867188
1,6,1.5,0.4,0.8,229.337976867188
0.2,7,1.5,0.4,0.8,229.337976867188
0.4,7,1.5,0.4,0.8,229.337976867188
0.6,7,1.5,0.4,0.8,229.337976867188
0.8,7,1.5,0.4,0.8,229.337976867188
1,7,1.5,0.4,0.8,229.337976867188
0.2,8,1.5,0.4,0.8,229.337976867188
0.4,8,1.5,0.4,0.8,229.337976867188
0.6,8,1.5,0.4,0.8,229.337976867188
0.8,8,1.5,0.4,0.8,229.337976867188
1,8,1.5,0.4,0.8,229.337976867188
0.2,3,2,0.4,0.8,229.337976867188
0.4,3,2,0.4,0.8,229.337976867188
0.6,3,2,0.4,0.8,229.337976867188
0.8,3,2,0.4,0.8,229.337976867188
1,3,2,0.4,0.8,229.337976867188
0.2,4,2,0.4,0.8,229.337976867188
0.4,4,2,0.4,0.8,229.337976867188
0.6,4,2,0.4,0.8,229.337976867188
0.8,4,2,0.4,0.8,229.337976867188
1,4,2,0.4,0.8,229.337976867188
0.2,5,2,0.4,0.8,229.337976867188
0.4,5,2,0.4,0.8,229.337976867188
0.6,5,2,0.4,0.8,229.337976867188
0.8,5,2,0.4,0.8,229.337976867188
1,5,2,0.4,0.8,229.337976867188
0.2,6,2,0.4,0.8,229.337976867188
0.4,6,2,0.4,0.8,229.337976867188
0.6,6,2,0.4,0.8,229.337976867188
0.8,6,2,0.4,0.8,229.337976867188
1,6,2,0.4,0.8,229.337976867188
0.2,7,2,0.4,0.8,229.337976867188
0.4,7,2,0.4,0.8,229.337976867188
0.6,7,2,0.4,0.8,229.337976867188
0.8,7,2,0.4,0.8,229.337976867188
1,7,2,0.4,0.8,229.337976867188
0.2,8,2,0.4,0.8,229.337976867188
0.4,8,2,0.4,0.8,229.337976867188
0.6,8,2,0.4,0.8,229.337976867188
0.8,8,2,0.4,0.8,229.337976867188
1,8,2,0.4,0.8,229.337976867188
0.2,3,1,0.6,0.8,7.87782940374049
0.4,3,1,0.6,0.8,7.87782940374049
0.6,3,1,0.6,0.8,7.87782940374049
0.8,3,1,0.6,0.8,7.87782940374049
1,3,1,0.6,0.8,7.87782940374049
0.2,4,1,0.6,0.8,7.87782940374049
0.4,4,1,0.6,0.8,7.87782940374049
0.6,4,1,0.6,0.8,7.87782940374049
0.8,4,1,0.6,0.8,7.87782940374049
1,4,1,0.6,0.8,7.87782940374049
0.2,5,1,0.6,0.8,7.87782940374049
0.4,5,1,0.6,0.8,7.87782940374049
0.6,5,1,0.6,0.8,7.87782940374049
0.8,5,1,0.6,0.8,7.87782940374049
1,5,1,0.6,0.8,7.87782940374049
0.2,6,1,0.6,0.8,7.87782940374049
0.4,6,1,0.6,0.8,7.87782940374049
0.6,6,1,0.6,0.8,7.87782940374049
0.8,6,1,0.6,0.8,7.87782940374049
1,6,1,0.6,0.8,7.87782940374049
0.2,7,1,0.6,0.8,7.87782940374049
0.4,7,1,0.6,0.8,7.87782940374049
0.6,7,1,0.6,0.8,7.87782940374049
0.8,7,1,0.6,0.8,7.87782940374049
1,7,1,0.6,0.8,7.87782940374049
0.2,8,1,0.6,0.8,7.87782940374049
0.4,8,1,0.6,0.8,7.87782940374049
0.6,8,1,0.6,0.8,7.87782940374049
0.8,8,1,0.6,0.8,7.87782940374049
1,8,1,0.6,0.8,7.87782940374049
0.2,3,1.5,0.6,0.8,7.87782940374049
0.4,3,1.5,0.6,0.8,7.87782940374049
0.6,3,1.5,0.6,0.8,7.87782940374049
0.8,3,1.5,0.6,0.8,7.87782940374049
1,3,1.5,0.6,0.8,7.87782940374049
0.2,4,1.5,0.6,0.8,7.87782940374049
0.4,4,1.5,0.6,0.8,7.87782940374049
0.6,4,1.5,0.6,0.8,7.87782940374049
0.8,4,1.5,0.6,0.8,7.87782940374049
1,4,1.5,0.6,0.8,7.87782940374049
0.2,5,1.5,0.6,0.8,7.87782940374049
0.4,5,1.5,0.6,0.8,7.87782940374049
0.6,5,1.5,0.6,0.8,7.87782940374049
0.8,5,1.5,0.6,0.8,7.87782940374049
1,5,1.5,0.6,0.8,7.87782940374049
0.2,6,1.5,0.6,0.8,7.87782940374049
0.4,6,1.5,0.6,0.8,7.87782940374049
0.6,6,1.5,0.6,0.8,7.87782940374049
0.8,6,1.5,0.6,0.8,7.87782940374049
1,6,1.5,0.6,0.8,7.87782940374049
0.2,7,1.5,0.6,0.8,7.87782940374049
0.4,7,1.5,0.6,0.8,7.87782940374049
0.6,7,1.5,0.6,0.8,7.87782940374049
0.8,7,1.5,0.6,0.8,7.87782940374049
1,7,1.5,0.6,0.8,7.87782940374049
0.2,8,1.5,0.6,0.8,7.87782940374049
0.4,8,1.5,0.6,0.8,7.87782940374049
0.6,8,1.5,0.6,0.8,7.87782940374049
0.8,8,1.5,0.6,0.8,7.87782940374049
1,8,1.5,0.6,0.8,7.87782940374049
0.2,3,2,0.6,0.8,7.87782940374049
0.4,3,2,0.6,0.8,7.87782940374049
0.6,3,2,0.6,0.8,7.87782940374049
0.8,3,2,0.6,0.8,7.87782940374049
1,3,2,0.6,0.8,7.87782940374049
0.2,4,2,0.6,0.8,7.87782940374049
0.4,4,2,0.6,0.8,7.87782940374049
0.6,4,2,0.6,0.8,7.87782940374049
0.8,4,2,0.6,0.8,7.87782940374049
1,4,2,0.6,0.8,7.87782940374049
0.2,5,2,0.6,0.8,7.87782940374049
0.4,5,2,0.6,0.8,7.87782940374049
0.6,5,2,0.6,0.8,7.87782940374049
0.8,5,2,0.6,0.8,7.87782940374049
1,5,2,0.6,0.8,7.87782940374049
0.2,6,2,0.6,0.8,7.87782940374049
0.4,6,2,0.6,0.8,7.87782940374049
0.6,6,2,0.6,0.8,7.87782940374049
0.8,6,2,0.6,0.8,7.87782940374049
1,6,2,0.6,0.8,7.87782940374049
0.2,7,2,0.6,0.8,7.87782940374049
0.4,7,2,0.6,0.8,7.87782940374049
0.6,7,2,0.6,0.8,7.87782940374049
0.8,7,2,0.6,0.8,7.87782940374049
1,7,2,0.6,0.8,7.87782940374049
0.2,8,2,0.6,0.8,7.87782940374049
0.4,8,2,0.6,0.8,7.87782940374049
0.6,8,2,0.6,0.8,7.87782940374049
0.8,8,2,0.6,0.8,7.87782940374049
1,8,2,0.6,0.8,7.87782940374049
